,SUBZONE UPPER,Population
59064,PASIR RIS DRIVE,51680
59340,PASIR RIS PARK,7890
59616,PASIR RIS WAFER FAB PARK,10
59892,PASIR RIS WEST,34970
60168,TOTAL,20
60444,AIRPORT ROAD,-
60720,PAYA LEBAR EAST,-
60996,PAYA LEBAR NORTH,20
61272,PAYA LEBAR WEST,-
61548,PLAB,-
61824,TOTAL,50
62100,BENOI SECTOR,-
62376,GUL BASIN,-
62652,GUL CIRCLE,20
62928,JOO KOON,20
63204,PIONEER SECTOR,10
63480,TOTAL,199400
63756,CONEY ISLAND,-
64032,MATILDA,52960
64308,NORTHSHORE,18420
64584,PUNGGOL CANAL,-
64860,PUNGGOL FIELD,48540
65136,PUNGGOL TOWN CENTRE,25220
65412,WATERWAY EAST,54260
65688,TOTAL,101930
65964,COMMONWEALTH,6550
66240,DOVER,11290
66516,GHIM MOH,13160
66792,HOLLAND DRIVE,12010
67068,KENT RIDGE,2250
67344,MARGARET DRIVE,24160
67620,MEI CHIN,16480
67896,NATIONAL UNIVERSITY OF S'PORE,290
68172,ONE NORTH,1010
68448,PASIR PANJANG 1,4750
68724,PASIR PANJANG 2,3540
69000,PORT,120
69276,QUEENSWAY,270
69552,SINGAPORE POLYTECHNIC,160
69828,TANGLIN HALT,5880
70104,TOTAL,11880
70380,INSTITUTION HILL,3760
70656,LEONIE HILL,3850
70932,ONE TREE HILL,2320
71208,OXLEY,1630
71484,PATERSON,320
71760,TOTAL,12920
72036,BENCOOLEN,1340
72312,FARRER PARK,2570
72588,KAMPONG GLAM,130
72864,LITTLE INDIA,3030
73140,MACKENZIE,130
73416,MOUNT EMILY,2070
73692,ROCHOR CANAL,-
73968,SELEGIE,60
74244,SUNGEI ROAD,1900
74520,VICTORIA,1690
74796,TOTAL,300
75072,PULAU PUNGGOL BARAT,-
75348,PULAU PUNGGOL TIMOR,-
75624,SELETAR,290
75900,SELETAR AEROSPACE PARK,10
76176,TOTAL,110090
76452,ADMIRALTY,13530
76728,SEMBAWANG CENTRAL,35400
77004,SEMBAWANG EAST,23480
77280,SEMBAWANG NORTH,25730
77556,SEMBAWANG SPRINGS,9540
77832,SEMBAWANG STRAITS,2370
78108,SENOKO NORTH,10
78384,SENOKO SOUTH,30
78660,THE WHARVES,-
78936,TOTAL,265060
79212,ANCHORVALE,51310
79488,COMPASSVALE,21580
79764,FERNVALE,69010
80040,LORONG HALUS NORTH,-
80316,RIVERVALE,62660
80592,SENGKANG TOWN CENTRE,60500
80868,SENGKANG WEST,-
81144,TOTAL,117630
81420,LORONG CHUAN,8550
81696,SELETAR HILLS,15390
81972,SERANGOON CENTRAL,22590
82248,SERANGOON GARDEN,37450
82524,SERANGOON NORTH,15200
82800,SERANGOON NORTH IND ESTATE,10
83076,UPPER PAYA LEBAR,18430
83352,TOTAL,-
83628,PULAU SELETAR,-
83904,SIMPANG NORTH,-
84180,SIMPANG SOUTH,-
84456,TANJONG IRAU,-
84732,TOTAL,4380
85008,BOAT QUAY,150
85284,CLARKE QUAY,120
85560,ROBERTSON QUAY,4110
85836,TOTAL,2480
86112,SENTOSA,2480
86388,SOUTHERN GROUP,-
86664,TOTAL,-
86940,STRAITS VIEW,-
87216,TOTAL,750
87492,GALI BATU,40
87768,KRANJI,-
88044,PANG SUA,20
88320,RESERVOIR VIEW,10
88596,TURF CLUB,680
88872,TOTAL,284560
89148,SIMEI,38470
89424,TAMPINES EAST,128250
89700,TAMPINES NORTH,32830
89976,TAMPINES WEST,83260
90252,XILIN,1760
90528,TOTAL,24030
90804,CHATSWORTH,7720
91080,NASSIM,10580
91356,RIDOUT,1510
91632,TYERSALL,4220
91908,TOTAL,7980
92184,BRICKLAND,-
92460,FOREST HILL,-
92736,GARDEN,280
93012,PARK,-
93288,PLANTATION,7700
93564,TENGAH INDUSTRIAL ESTATE,-
93840,TOTAL,139310
94116,BIDADARI,7550
94392,BOON TECK,14600
94668,BRADDELL,9530
94944,JOO SENG,7920
95220,KIM KEAT,8710
95496,LORONG 8 TOA PAYOH,6720
95772,PEI CHUN,9960
96048,POTONG PASIR,12920
96324,SENNETT,16580
96600,TOA PAYOH CENTRAL,27430
96876,TOA PAYOH WEST,13960
97152,WOODLEIGH,3420
97428,TOTAL,70
97704,TENGEH,-
97980,TUAS BAY,10
98256,TUAS NORTH,20
98532,TUAS PROMENADE,10
98808,TUAS VIEW,10
99084,TUAS VIEW EXTENSION,10
99360,TOTAL,10
99636,JURONG ISLAND AND BUKOM,10
99912,SEMAKAU,-
100188,SUDONG,-
100464,TOTAL,600
100740,BAHAR,-
101016,CLEANTECH,-
101292,MURAI,600
101568,TOTAL,255180
101844,GREENWOOD PARK,100
102120,MIDVIEW,34380
102396,NORTH COAST,11430
102672,SENOKO WEST,30
102948,WOODGROVE,32670
103224,WOODLANDS EAST,99870
103500,WOODLANDS REGIONAL CENTRE,-
103776,WOODLANDS SOUTH,40150
104052,WOODLANDS WEST,36550
104328,TOTAL,229520
104604,KHATIB,9810
104880,LOWER SELETAR,19150
105156,NEE SOON,1050
105432,NORTHLAND,27080
105708,SPRINGLEAF,4370
105984,YISHUN CENTRAL,2880
106260,YISHUN EAST,71930
106536,YISHUN SOUTH,41490
106812,YISHUN WEST,51760
